,LocID,LocNomLocMJSP,LocGeog,LocAtv,EmpID,LocLat,LocLong,LocMunGeoId,MunGeoNom,UFGeoSgl,nearest_node,nearest_edge_1,nearest_edge_2,edge_key,street_type_crossing,street_type_mini_roundabout,street_type_motorway_junction,street_type_traffic_signals,street_type_turning_circle,street_type_unknown
798,13711,SP - SAO PAULO - AV LUIZ DUMONT VILLARES APOS R SGT MOR RAMALHO - SENT CENTRO,0xE6100000010C598638D6C57D37C02E90A0F8314E47C0,1,9,-23.4913,-46.6109,5542,SAO PAULO,SP,1663255702,1663255702,1705215548,0,0.0,0.0,0.0,0.0,0.0,1.0
799,13712,SP - SAO PAULO - AV LUIZ DUMONT VILLARES APOS R SGT MOR RAMALHO - SENT CENTRO,0xE6100000010C598638D6C57D37C02E90A0F8314E47C0,1,9,-23.4913,-46.6109,5542,SAO PAULO,SP,1663255702,1663255702,1705215548,0,0.0,0.0,0.0,0.0,0.0,1.0
800,13713,"SP - SAO PAULO - AV PRES CASTELO BRANCO, ANTES AV ARISTON AZEVEDO - SENT ROD A SENNA",0xE6100000010CBBB88D06F08637C0E9263108AC4C47C0,1,9,-23.5271,-46.599,5542,SAO PAULO,SP,5746146983,5746146983,5746146981,0,0.0,0.0,0.0,0.0,0.0,1.0
801,13714,"SP - SAO PAULO - AV COND ELISABETH DE ROBIANO, 260 - FUNDACAO CASA - SENT ROD A SENNA",0xE6100000010C2B8716D9CE8737C08716D9CEF74B47C0,1,9,-23.5305,-46.5935,5542,SAO PAULO,SP,2350165181,2383328427,2350165153,0,0.0,0.0,1.0,0.0,0.0,0.0
802,13715,SP - SAO PAULO - MARG TIETE EXPRESSA ANTES PTE JANIO QUADROS - SENT ROD C BRANCO,0xE6100000010C6688635DDC8637C0EA043411364C47C0,1,9,-23.5268,-46.5954,5542,SAO PAULO,SP,2348890982,2348890982,2348890987,0,0.0,0.0,0.0,0.0,0.0,1.0
803,13716,SP - CACAPAV A - SP-070 - ROD  CARVALHO PINTO KM 114 - SENT CAPITAL,0xE6100000010C80B74082E22737C036AB3E575BD946C0,1,9,-23.1558,-45.6981,3000,CACAPAVA,SP,1671356849,7920616996,7916315154,0,0.0,0.0,0.0,0.0,0.0,1.0
804,13717,SP - CACAPAV A - SP-070 - ROD  CARVALHO PINTO KM 114 - SENT CAPITAL,0xE6100000010C80B74082E22737C036AB3E575BD946C0,1,9,-23.1558,-45.6981,3000,CACAPAVA,SP,1671356849,7920616996,7916315154,0,0.0,0.0,0.0,0.0,0.0,1.0
805,13718,SP - ITAQUAQUECETUBA - SP070 - ROD  AYRTON SENNA - SENT OESTE - FX0,0xE6100000010C8A05BEA25B7737C0BFEFDFBC382F47C0,1,9,-23.466242,-46.368919,1537,ITAQUAQUECETUBA,SP,1671356849,1671356849,5338197716,0,0.0,0.0,0.0,0.0,0.0,1.0
806,13719,SP - ITAQUAQUECETUBA - SP-070 - ROD  AYRTON SENNA - KM 33 - SENT LESTE,0xE6100000010C2C6519E2587737C0E561A1D6342F47C0,1,9,-23.4662,-46.3688,1537,ITAQUAQUECETUBA,SP,1671356849,1671356849,5338197716,0,0.0,0.0,0.0,0.0,0.0,1.0
807,13720,SP - SAO JOSE DOS CAMPOS - SP-070 - ROD  GOV CARVALHO PINTO - KM 92 - SENT SAO PAULO,0xE6100000010C7F6ABC74934837C003780B2428EE46C0,1,9,-23.2835,-45.8606,5537,SAO JOSE DOS CAMPOS,SP,7920616996,7920616996,7916315154,0,0.0,0.0,0.0,0.0,0.0,1.0
808,13721,SP - SAO JOSE DOS CAMPOS - SP-070 - ROD  GOV CARVALHO PINTO - KM 92 - SENT SAO PAULO,0xE6100000010C7F6ABC74934837C003780B2428EE46C0,1,9,-23.2835,-45.8606,5537,SAO JOSE DOS CAMPOS,SP,7920616996,7920616996,7916315154,0,0.0,0.0,0.0,0.0,0.0,1.0
